"ID","PMNNO","ACCNO","GENERIC NAME","FL"
197,"P000685",243551,"Butadiene, alkyl acrylate, alkyl methacrylate, co-polymer (PROVISIONAL)","P"
198,"P000686",279073,"Phenol, 4,4'-(1-methylethylidene)bis-, polymers with aliphatic diamines, epichlorohydrin and polyethylene glycol (PROVISIONAL)","P; XU"
199,"P000687",271853,"Polyurethane and polyurea copolymer (PROVISIONAL)","P; XU"
200,"P000688",270258,"Alkanediol (PROVISIONAL)","P"
201,"P000690",172873,"Alkoxylated allyl methacrylate (PROVISIONAL)","P; XU"
202,"P000692",273622,"Aliphatic polyurethane (PROVISIONAL)","P; XU"
203,"P000693",267595,"Epoxy-nitrile rubber adduct (PROVISIONAL)","P; XU"
204,"P000695",246118,"Perfluoroalkylated polyamino acid (PROVISIONAL)","P; XU"
205,"P000701",243664,"Polyimide (PROVISIONAL)","P; XU"
206,"P000702",163145,"Olefin oligomers (PROVISIONAL)","P; XU"
207,"P000708",148119,"Chromate(2-), [3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-4-hydroxy-(substituted)][[(2-substituted]]-4-nitrophenylato(2-)-N2,O1,O2]-, disodium (PROVISIONAL)","P"
208,"P000709",240405,"Organosiloxane polymer (PROVISIONAL)","P; XU"
209,"P000710",141721,"Benzenesulfinic acid, 2,2'-(9,10-dihydro-5,8-dihydroxy-9,10-dioxo-1,4-anthracenediyl)(substituted)-, disodium salt (PROVISIONAL)","P"
210,"P000711",160851,"Benzenesulfinic acid, 2,2'-(9,10-dihydro-5,8-dihydroxy-9,10-dioxo-1,4-anthracenediyl)(substituted)-, disodium salt (PROVISIONAL)","P"
211,"P000712",159149,"Benzenesulfinic acid, 2,2'-(9,10-dihydro-5,8-dihydroxy-9,10-dioxo-1,4-anthracenediyl)(subsituted)-,disodium salt (PROVISIONAL)","P"
212,"P000713",261542,"Arylazo substituted sulfonated naphthalene compound (PROVISIONAL)","P"
213,"P000714",242796,"Aminoalkylcarboxylic acid, sodium salt, polymer with saturated dicarboxylic acid, alkyldiols, and alkylisocyanates (PROVISIONAL)","P; XU"
214,"P000718",131410,"Modified polyester (PROVISIONAL)","P; XU"
215,"P000719",131056,"Amine salt of polyurethane resin (PROVISIONAL)","P; XU"
216,"P000721",256532,"Flexible acrylic polymer (PROVISIONAL)","P; XU"
217,"P000723",137485,"Acrylic polymer (PROVISIONAL)","P; XU"
218,"P000724",242672,"Polyether modified acrylic (PROVISIONAL)","P; XU"
219,"P000732",141878,"Alkylsilanes","P"
220,"P000734",243391,"Substituted heterocyclic metal complex (PROVISIONAL)","P"
221,"P000736",270452,"Polyester acrylate (PROVISIONAL)","P; XU"
222,"P000749",264063,"Polycarboxylic acid, zirconium salt (PROVISIONAL)","P"
223,"P000750",149372,"Reaction product of: 1,2-ethanediamine, aliphatic diisocyanate and polyether polyols (PROVISIONAL)","P; XU"
224,"P000753",268689,"Azo maroon pigment (PROVISIONAL)","P"
225,"P000754",262443,"Blocked aromatic isocyanate (PROVISIONAL)","P; XU"
226,"P000756",140295,"Isocyanate-terminated polyester polyurethane polymer (PROVISIONAL)","P; XU"
227,"P000757",277340,"Isocyanate-terminated polyester polyurethane polymer (PROVISIONAL)","P; XU"
228,"P000758",253840,"Isocyanate-terminated polyester polyurethane polymer (PROVISIONAL)","P; XU"
229,"P000766",169836,"Rosin modified phenolic resin (PROVISIONAL)","P; XU"
230,"P000767",251297,"Modified carbamate acrylic resin (PROVISIONAL)","P; XU"
231,"P000769",260378,"Modified carbamate acrylic polymer (PROVISIONAL)","P; XU"
232,"P000783",241997,"Sodium derivatives of modified alkali lignin reaction products withformaldehyde (PROVISIONAL)","P"
233,"P000791",233331,"Copolymer of styrene and methacrylic esters (PROVISIONAL)","P; XU"
234,"P000792",133610,"Silicone copolymer (PROVISIONAL)","P; XU"
235,"P000793",278309,"Acrylic solution polymer (PROVISIONAL)","P; XU"
236,"P000800",254105,"Amine adduct of epoxy resin (PROVISIONAL)","P; XU"
237,"P000804",178951,"Aliphatic dialdehyde (PROVISIONAL)","P"
238,"P000805",173810,"Aliphatic dialdehyde (PROVISIONAL)","P"
239,"P000807",138068,"Substituted cycloalkyl heterocyclic derivative (PROVISIONAL)","P"
240,"P000809",177141,"Heterocyclic alkyl acid derivative (PROVISIONAL)","P"
241,"P000810",171198,"Heterocyclic alkyl alcohol (PROVISIONAL)","P"
242,"P000814",138966,"Isocyanate terminated urethane polymer (PROVISIONAL)","P; XU"
243,"P000816",179329,"Alkyl dialkylamino phenylsulfonyl alkenoate","P; S"
244,"P000817",271148,"Silicon resin (PROVISIONAL)","P; XU"
245,"P000818",270349,"Fatty acids, unsatd. dimers, polymers with .alpha.,.omega.-diisocyanate and .omega.-hydroxyalkyl-imidazolidinone (PROVISIONAL)","P; XU"
